Month,FiscalSentimentIndex
2021-02,-0.017910803
2021-03,-0.014148863
2021-04,-0.007169818
2021-05,-0.01114987
2021-06,-0.016895205
2021-07,-0.006693025
2021-08,-0.0050646947
2021-09,-0.009213458
2021-10,-0.010786468
2021-11,-0.011732052
2021-12,-0.01094984
2022-01,-0.0076775546
2022-02,-0.014135638
2022-03,0.010111359
2022-04,-0.0014195445
2022-05,-0.009187361
2022-06,-0.016004136
2022-07,-0.012263814
2022-08,-0.017210541
2022-09,-0.016325468
2022-10,-0.022826668
2022-11,-0.015132538
2022-12,-0.017779822
2023-01,-0.019047387
2023-02,-0.02089657
2023-03,-0.025879975
2023-04,-0.018480156
2023-05,-0.012855732
2023-06,-0.010079195
2023-07,-0.012508332
2023-08,-0.012385321
2023-09,-0.0077131395
2023-10,-0.011968965
2023-11,-0.008557835
2023-12,-0.013671342
2024-01,-0.01252219
2024-02,-0.0155126685
2024-03,-0.0062313434
2024-04,-0.0025792378
2024-05,-0.015094987
2024-06,-0.016214425
2024-07,-0.013269473
2024-08,-0.017416239
2024-09,-0.018019464
2024-10,-0.012954288
2024-11,-0.011118618
2024-12,-0.013743027
